"year","id_","AGE","EDUC","SEX","RACETH","RELIG","sex1","race1","relig1","educ1","age1","sex2","race2","relig2","educ2","age2","sex3","race3","relig3","educ3","age3","sex4","race4","relig4","educ4","age4","sex5","race5","relig5","educ5","age5"
"1985","1985.1260","44","13-15 years","Female","White","Catholic","Female","White","Protestant","12 years","53","Male","White","Protestant","12 years","53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1261","51","12 years","Male","White","Other","Male","White","Protestant","12 years","48","Male","White","None","13-15 years","28","Male","White","Protestant","12 years","25","Male","White","Protestant","13-15 years","25","Male","White","Protestant","Less than 10","84"
"1985","1985.1262","25","16 or more","Male","White","Protestant","Female","White","Protestant","12 years","54","Male","White","Protestant","13-15 years","56","Male","White","Protestant","12 years","44","Male","White","Protestant","16 or more","35",NA,NA,NA,NA,NA
"1985","1985.1263","23","12 years","Female","White","Protestant","Female","White","Protestant","12 years","20","Male","White","Protestant","12 years","22","Female","White","Protestant","12 years","21","Male","White","Protestant","12 years","22",NA,NA,NA,NA,NA
"1985","1985.1264","38","16 or more","Female","White","Protestant","Male","White","Protestant","16 or more","40","Female","White","Protestant","16 or more","41","Female","White","Protestant","16 or more","36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1265","35","10-11 years","Female","White","Protestant","Male","White","Protestant","12 years","55","Female","White","Protestant",NA,"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1266","49","Less than 10","Male","White","Catholic","Female","White","Catholic","12 years","35","Male","White","Catholic","12 years","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1267","71","12 years","Female","White","Protestant","Female","White","Protestant","13-15 years","65","Female","White","Protestant","12 years","55","Female","White","Protestant","Less than 10","80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1268","23","12 years","Male","White","Protestant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1269","42","12 years","Female","White","Protestant","Female","White","Protestant","12 years","41","Female","White","Protestant","13-15 years","43","Female","White","Protestant","13-15 years","37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1270","39","12 years","Male","White","Protestant","Male","White","Catholic",NA,"52","Male","White","Protestant","12 years","38","Male","White","Protestant",NA,"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1271","59","Less than 10","Female","White","Protestant","Female","White","Protestant","10-11 years","52","Female","White","Protestant","12 years","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1272","68","10-11 years","Male","White","Protestant","Male","White","Protestant","12 years","53","Male","White","Protestant","16 or more","83","Male","White","Protestant","16 or more","71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1273","30","12 years","Female","White","Protestant","Female","White","Catholic","16 or more","28","Female","White","Protestant","12 years","34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1274","60","12 years","Male","White","Protestant","Male","White","Protestant","10-11 years","55","Male","White","Protestant","12 years","55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1275","60","12 years","Female","White","Protestant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1276","85","13-15 years","Female","White","Protestant","Female","White","Protestant","12 years","50","Female","White","Protestant","16 or more","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1277","22","13-15 years","Male","White","None","Male","White","None","13-15 years","22","Male","White","None","13-15 years","22","Male","White","None","13-15 years","42","Female","White","Protestant","16 or more","41","Female","White","Catholic","16 or more","21"
"1985","1985.1278",NA,"Less than 10","Female","White","Protestant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1279","21","12 years","Female","White","Protestant","Male","White","Protestant","13-15 years","23","Female","White","Protestant","10-11 years","62","Female","White","Protestant","10-11 years","19","Male","White","Protestant","13-15 years","44","Female","White","Protestant","12 years","48"
"1985","1985.1280","27","10-11 years","Male","White","Protestant","Male","White","Protestant","13-15 years","35","Male","White",NA,"12 years","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1281","59","10-11 years","Female","White","Protestant","Female","White","Protestant","12 years","56","Female","White","Protestant","10-11 years","61","Female","White","Protestant","Less than 10","65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1282","75","10-11 years","Female","White","Protestant","Female","White","Protestant","10-11 years","72","Female","White","Protestant","12 years","59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1283","74","12 years","Female","White","Catholic","Female","White","Protestant","12 years","76","Female","White","Protestant","12 years","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1284","62","10-11 years","Female","White","Protestant","Female","White","Protestant","12 years","55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1285","42","13-15 years","Female","White","Protestant","Male","White","Catholic","12 years","53","Male","White","Protestant","10-11 years","51","Female","White","Protestant","10-11 years","38","Male","White","Protestant","10-11 years","22","Female","White","Protestant","Less than 10","16"
"1985","1985.1286","55","12 years","Male","White","Protestant","Male","White","Protestant","12 years","57","Male","White","Protestant","16 or more","65","Female","White","Protestant","12 years","56","Female","White","Protestant","12 years","50","Male","White","Protestant","Less than 10","84"
"1985","1985.1287","32","12 years","Female","White","Protestant","Male","White","Protestant","Less than 10","54","Female","White","Protestant","13-15 years","19","Male","White","Protestant","12 years","33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1288","27","10-11 years","Male","White","Catholic","Female","White","Catholic","12 years","55","Male","White","Catholic","12 years","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1289","61","10-11 years","Male","White","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1290","87","Less than 10","Male","Black","Protestant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1291","73","12 years","Female","White","Protestant","Male","White","Protestant","Less than 10","76","Female","White","Protestant","12 years","36","Male","White","Protestant",NA,"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1292","74","Less than 10","Female","White","Protestant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1293","47","12 years","Female","White","Protestant","Female","White","Protestant","12 years","39","Female","White","Protestant","13-15 years","37","Male","White","Protestant","16 or more","45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1294","77","10-11 years","Female","White","Protestant","Female","White","Protestant","12 years","53","Female","White","Protestant","12 years","77","Female","White","Protestant","13-15 years","53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1295","27","Less than 10","Female","White","Protestant","Female","White","Protestant","13-15 years","29","Female","White","Protestant","10-11 years","38","Female","White",NA,"12 years","28","Male","White","Protestant","Less than 10","24",NA,NA,NA,NA,NA
"1985","1985.1296","62","Less than 10","Male","White","Protestant","Female","White","Protestant","16 or more","33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1297","45","12 years","Female","White","Protestant","Female","White","Protestant","12 years","47","Female","White","Protestant","10-11 years","39","Female","White","Protestant","12 years","45","Female","White","Protestant","12 years","40","Female","White","Protestant","12 years","55"
"1985","1985.1298","59","10-11 years","Female","White","Protestant","Male","White","Protestant","12 years","65","Female","White","Protestant","12 years","45","Female","White","Protestant","12 years","38","Female","White","Protestant","12 years","61",NA,NA,NA,NA,NA
"1985","1985.1299","76","10-11 years","Female","White","Protestant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1300","81","12 years","Female","White","Protestant","Female","White","Protestant","16 or more","83","Female","White","Protestant","16 or more","79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1301","30","10-11 years","Male","White","None","Female","White","Protestant","Less than 10","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1302","60","12 years","Female","White","Protestant","Male","White","Protestant","16 or more","52","Male","White","Protestant","12 years","63","Female","White","Protestant","12 years","63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1303","75","12 years","Female","White","Protestant","Female","White","Protestant","12 years","51","Female","White","Protestant","12 years","59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1304","24","12 years","Female","White","Protestant","Female","White","Protestant","12 years","20","Male","White","Protestant","10-11 years","22","Male","White","Protestant","13-15 years","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1305","33","13-15 years","Male","White","Protestant","Female","White","Protestant","10-11 years","31","Male","White",NA,"16 or more","46","Male","White",NA,"10-11 years","27","Male","White","Protestant","10-11 years","45",NA,NA,NA,NA,NA
"1985","1985.1306","24","10-11 years","Female","White","Protestant","Female","White","Protestant","10-11 years","43","Male","White","Protestant","12 years","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1307","72","10-11 years","Male","White","Protestant","Male","White","Protestant","Less than 10","62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1308","71","Less than 10","Female","Black","Protestant","Female","Black","Protestant","12 years","38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1309","52","10-11 years","Female","White","Protestant","Male","White","Protestant","Less than 10","50","Female","White","Protestant","Less than 10","72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1310","69","10-11 years","Male","White","Protestant","Female","White","Protestant","10-11 years","67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1311","40","12 years","Male","White","Protestant","Female","White","Protestant","10-11 years","28","Male","White","Protestant","10-11 years","18","Male","White","Protestant","10-11 years","16","Female","White","Protestant","Less than 10","10",NA,NA,NA,NA,NA
"1985","1985.1312","38","Less than 10","Female","Black","Protestant","Female","Black","Protestant","Less than 10","55","Female","Black","Protestant","10-11 years","34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1313","22","12 years","Female","White","Protestant","Male","White","Protestant","12 years","24","Female","White","Protestant","12 years","49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1314","53","12 years","Male","White","Protestant","Female","White","Protestant","16 or more","30","Male","White","Protestant","12 years","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1315","35","12 years","Female","White","Protestant","Female","White","Protestant","12 years","58","Female","White","Protestant","12 years","38","Male","White","Protestant","12 years","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1316","41","12 years","Female","White","Catholic","Female","White","Catholic","12 years","62","Male","White","Protestant","16 or more","39","Female","White","Other","13-15 years","32","Male","White","Catholic","13-15 years","39",NA,NA,NA,NA,NA
"1985","1985.1317","30","12 years","Male","White","Protestant","Male","White","Protestant","16 or more","51","Female","White","Protestant","16 or more","49","Female","White","Protestant","10-11 years","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1318","30","13-15 years","Female","White","Protestant","Male","Hispanic","Catholic","12 years","36","Female","White","Protestant","10-11 years","36","Female","White","Protestant","12 years","59","Female","White","Protestant","13-15 years","27",NA,NA,NA,NA,NA
"1985","1985.1319","68","13-15 years","Female","White","Protestant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1320","72","12 years","Male","White","Protestant","Female","White","Protestant","10-11 years","69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1321","35","16 or more","Female","White","Protestant","Female","White","Protestant","12 years","60","Male","White","Protestant","16 or more","35","Male","White","Protestant","16 or more","64","Male","White","Protestant","16 or more","35","Female","White","Protestant","12 years","64"
"1985","1985.1322","34","12 years","Male","White","Protestant","Male","White","Protestant","12 years","34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1323","69","10-11 years","Female","White","Protestant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1324","50","10-11 years","Female","White","Protestant","Male","White","Protestant","10-11 years","49","Female","White","Protestant","10-11 years","19","Male","White","Protestant","Less than 10","15","Female","White","Protestant","Less than 10","11","Male","White","Protestant","10-11 years","22"
"1985","1985.1325","56","Less than 10","Male","White","Protestant","Male","White","Protestant","12 years","58","Female","White","Catholic","12 years","55","Male","White","Protestant","10-11 years","59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1326","35","13-15 years","Female","White","Protestant","Female","White","Protestant","13-15 years","27","Female","White","Protestant","12 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1327","71","Less than 10","Female","White","Protestant","Female","White","Protestant","12 years","52","Male","White","Protestant","12 years","55","Male","White","Protestant","12 years","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1328","24","10-11 years","Female","White","Protestant","Female","White","Protestant","12 years","44","Male","White","Protestant","13-15 years","51","Female","White","Protestant","12 years","44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1329","72","13-15 years","Female","White","Protestant","Female","White","Protestant","16 or more","45","Male","White","Protestant","13-15 years","47","Male","White","Protestant",NA,"70","Female","White","Protestant",NA,"62",NA,NA,NA,NA,NA
"1985","1985.1330","39","10-11 years","Female","White","Protestant","Male","White","Protestant","12 years","42","Female","White","Protestant","10-11 years","21","Female","White","Protestant","12 years","50","Male","White","Protestant","12 years","53","Female","White","None","Less than 10","63"
"1985","1985.1331","20","12 years","Female","White","Protestant","Male","White","Protestant","13-15 years","23","Female","White","Protestant","10-11 years","42","Female","White","Protestant","10-11 years","37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1332","63","12 years","Female","White","Protestant","Female","White","Protestant","13-15 years","34","Male","White","Protestant","12 years","42","Female","White","Protestant","12 years","68","Female","White","Protestant","12 years","49",NA,NA,NA,NA,NA
"1985","1985.1333","75","Less than 10","Female","White","Protestant","Male","White","Catholic","16 or more","48","Female","White","Protestant","12 years","56","Male","White","None",NA,"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1334","36","12 years","Female","White","Protestant","Male","White","Protestant","16 or more","39","Female","White","Protestant","12 years","63","Female","White","Protestant","12 years","41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1335","73","10-11 years","Female","White","Protestant","Female","White","Protestant","12 years","64","Female","White","Protestant","12 years","70","Male","White","Protestant","16 or more","36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1336","58","10-11 years","Female","White","Protestant","Female","White","Protestant","10-11 years","75","Male","White","Protestant","10-11 years","64","Female","White","Protestant","16 or more","36","Male","White","Protestant","13-15 years","34",NA,NA,NA,NA,NA
"1985","1985.1337","67","Less than 10","Male","White","Protestant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1338","69","Less than 10","Female","White","Protestant","Male","White","Protestant","Less than 10","75","Male","White","Protestant","Less than 10","66","Male","White","Catholic","16 or more","44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1339","35","12 years","Female","White","Protestant","Female","White","Protestant","12 years","36","Female","White","Protestant","Less than 10","52","Male","White","Protestant","16 or more","36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1340","44","13-15 years","Male","White","Protestant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1341","59","12 years","Male","White","Protestant","Female","White","Protestant","12 years","53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1342","34","10-11 years","Male","White","Protestant","Male","White","Protestant","12 years","32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1343","23","12 years","Male","White","Protestant","Female","White","Catholic","12 years","21","Female","White","Protestant","12 years","61","Male","White","Protestant",NA,"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1344","20","13-15 years","Male","White","Protestant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1345","65","10-11 years","Female","White","Protestant","Male","White","Protestant","Less than 10","70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1346","42","12 years","Female","White","Catholic","Female","White","Protestant",NA,"36","Female","White","Protestant",NA,"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1347","35","16 or more","Female","White","Protestant","Female","White","Protestant","12 years","28","Female","White","Catholic","12 years","53","Female","White","Protestant","12 years","58","Male","White","Protestant","12 years","64",NA,NA,NA,NA,NA
"1985","1985.1348","71","Less than 10","Male","White","Catholic","Male","White","Catholic","13-15 years","23","Female","White","Catholic","Less than 10","67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1349","70","12 years","Male","White","Protestant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1350","65","Less than 10","Female","White","Catholic","Female","White","Catholic","12 years","63","Female","White","Catholic","12 years","63","Female","White","Catholic","12 years","65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1351","61","10-11 years","Male","White","Catholic","Male","White","Catholic","12 years","64","Male","White","Protestant","12 years","64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1352","73","12 years","Female","White","Protestant","Male","White","Protestant","10-11 years","76","Male","White","None","12 years","54","Female","White","None","12 years","51","Female","White","None","12 years","50",NA,NA,NA,NA,NA
"1985","1985.1353","69","12 years","Male","White","Protestant","Male","White","Protestant","16 or more","32","Female","White","Protestant","10-11 years","62","Male","White","Protestant","16 or more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1354","71","12 years","Female","White","Protestant","Female","White","Protestant","12 years","43","Male","White","Protestant","13-15 years","41","Male","White",NA,"16 or more","52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1355","41","12 years","Female","White","Catholic","Female","White","Catholic","12 years","67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1356","67","12 years","Male","White","Protestant","Female","White","Catholic","13-15 years","54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1357","79","16 or more","Male","White","Catholic","Male","White",NA,"16 or more","60","Female","White","Protestant","16 or more","50","Female","White",NA,"16 or more","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1358","20","10-11 years","Male","Hispanic","Catholic","Female","Asian",NA,"16 or more",NA,"Male","Hispanic","Catholic","Less than 10","17","Male","Hispanic","Protestant","Less than 10","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1359","21","12 years","Female","Black","Protestant","Female","Black","Protestant","10-11 years","17","Female","Black","Protestant","12 years","18","Female","White","Protestant","12 years","26","Female","Black","Protestant","12 years","24",NA,NA,NA,NA,NA
"1985","1985.1360","60","Less than 10","Male","Black","Protestant","Female","Black","Protestant","Less than 10","63","Female","Black","Protestant",NA,"55","Female","Black","Protestant",NA,"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1361","22","12 years","Female","Black","Protestant","Male","Black","Protestant","10-11 years","20","Female","Black","Protestant","10-11 years","30","Female","Black","Protestant","10-11 years","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1362","22","12 years","Female","White","Protestant","Male","White","Protestant","10-11 years","25","Male","White","Protestant","13-15 years","27","Female","White","Protestant","12 years","43","Female","Hispanic","Protestant","Less than 10","43","Male","Hispanic","Protestant","Less than 10","44"
"1985","1985.1363","22","12 years","Male","Black","Protestant","Male","Black",NA,"12 years","21","Male","Hispanic","Catholic","10-11 years","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1364","27","12 years","Female","Black","Protestant","Male","Black","Protestant","12 years","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1365","69","10-11 years","Female","White","Protestant","Female","Asian","Protestant",NA,NA,"Male","Asian","Protestant","13-15 years","62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1366","56","Less than 10","Female","White","Protestant","Female","White","Protestant","12 years","52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1367","36","12 years","Female","Black","Protestant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1368","44","10-11 years","Female","Black","Protestant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1369","77","Less than 10","Female","Black","Protestant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1370","70","Less than 10","Male","White","Protestant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1371","52","12 years","Female","White","Protestant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1372","66","12 years","Male","White","Protestant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1373","19","10-11 years","Male","White","Protestant","Male","Black","Protestant","16 or more","29","Male","White","Protestant","12 years","45","Female","White","Protestant","12 years","39","Male","White","Protestant",NA,"17",NA,NA,NA,NA,NA
"1985","1985.1374","72","Less than 10","Male","Black","Protestant","Male","Black","Protestant","Less than 10","55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1375","50","Less than 10","Female","Black","Protestant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1376","62","10-11 years","Male","White","Protestant","Female","White","Protestant","10-11 years","58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1377","30","12 years","Female","White","Protestant","Female","White","Protestant","12 years","48","Male","White","Protestant","10-11 years","32","Female","White","Protestant","10-11 years","38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1378","25","12 years","Male","White","Protestant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1379","35","10-11 years","Female","Black","Protestant","Male","Black","Protestant","10-11 years","37","Female","Black","Protestant","12 years","54","Female","Black","Protestant","10-11 years","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1380","49","10-11 years","Male","Black","Protestant","Female","Black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1381","79","Less than 10","Male","Black","Protestant","Male","Black","Protestant","13-15 years","67","Male","Black","Protestant","12 years","51","Male","Black","Protestant","Less than 10","79","Male","Black","Protestant","Less than 10","67","Male","Black","Protestant","Less than 10","77"
"1985","1985.1382","80","Less than 10","Female","Black","Protestant","Male","Black","Protestant",NA,"78","Female","Black","Protestant","13-15 years","66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1383","49","Less than 10","Female","Black","Protestant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1384","27","10-11 years","Female","Black","Protestant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1385","65","10-11 years","Male","White","Protestant","Male","White","Protestant","12 years","34","Male","White","Protestant","16 or more","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1386","66","Less than 10","Female","White","Protestant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.1387","77","12 years","Female","White","Protestant","Female","White","Protestant","Less than 10","75","Female","White","Protestant","10-11 years","58","Female","White",NA,"Less than 10","58","Female","White","Protestant","10-11 years","74","Male","White","Protestant","16 or more","53"
"1985","1985.1388","84","10-11 years","Female","White","Protestant","Female","White","Protestant","16 or more",NA,"Female","White","Protestant","12 years","61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
