"year","id_","AGE","EDUC","SEX","RACETH","RELIG","sex1","race1","relig1","educ1","age1","sex2","race2","relig2","educ2","age2","sex3","race3","relig3","educ3","age3","sex4","race4","relig4","educ4","age4","sex5","race5","relig5","educ5","age5"
"1985","1985.574","50","12 years","Female","White","Catholic","Male","White","Catholic","16 or more","45","Male","White","Catholic","16 or more","40","Female","White","Catholic","16 or more","35","Male","White","Catholic","13-15 years","35","Male","White","Catholic","12 years","47"
"1985","1985.575","27","Less than 10","Female","White","Catholic","Female","White","Catholic","12 years","30","Female","White","Catholic","13-15 years","50","Male","White","Catholic","12 years","30","Female","White","Catholic","12 years","25","Male","White","Protestant","16 or more","27"
"1985","1985.576","41","12 years","Male","White","Protestant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.577","71","10-11 years","Female","White","Protestant","Female","White","Protestant","10-11 years","23","Female","White","Protestant","10-11 years","41","Male","White","None","12 years","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.578","70","12 years","Female","White","Protestant","Female","White","Protestant","13-15 years","30","Female","White","Catholic","13-15 years","36","Male","White","Protestant","12 years","32","Female","White","Protestant","13-15 years","40","Female","White","Protestant","16 or more","80"
"1985","1985.579","28","12 years","Female","White","Protestant","Female","White","Protestant","12 years","49","Female","White","Protestant","13-15 years","35","Male","White","Protestant","Less than 10","51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.580","33","12 years","Female","White","Protestant","Female","White",NA,"13-15 years","29","Male","White","Protestant","13-15 years","22","Female","White","Protestant","16 or more","62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.581","37","Less than 10","Male","Black","Protestant","Female","Black","Protestant","12 years","40","Male","Black","Protestant","16 or more","29","Female","Black","Protestant","12 years","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.582","29","13-15 years","Female","Black","Protestant","Female","Black","Protestant","10-11 years","48","Female","Black","Protestant","12 years","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.583","47","Less than 10","Male","Black","Protestant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985","1985.584","27","12 years","Female","Hispanic","Protestant","Female","Hispanic","Catholic","12 years","44","Female","White","Protestant","12 years","29","Female","Hispanic","Catholic","12 years","23","Female","White","Protestant","12 years","34","Male","Hispanic","Protestant","12 years","32"
"1985","1985.585","26","12 years","Female","White","Catholic","Female","White","Protestant","12 years","28","Male","White","Catholic","13-15 years","56","Male","White","Protestant","12 years","55","Female","White","Protestant","16 or more","26","Male","White","Protestant","16 or more","36"
"1985","1985.586","26","Less than 10","Male","White","Protestant","Male","White","None","13-15 years","33","Male","White","Catholic","13-15 years","25","Female","White","Protestant","13-15 years","24","Female","White","Protestant","10-11 years","48",NA,NA,NA,NA,NA
"1985","1985.587","30","16 or more","Male","Black","Catholic","Male","Black","Protestant","16 or more","29","Male","Black","Protestant","16 or more","28","Male","Black","Protestant","16 or more","29","Male","Black","Protestant","16 or more","30",NA,NA,NA,NA,NA
"1985","1985.588","24","16 or more","Male","White","Protestant","Female","White","Protestant","13-15 years","51","Male","White","Protestant","16 or more","51","Male","White","Protestant","16 or more","26","Male","White","Protestant","16 or more","27","Male","White","Protestant","13-15 years","21"
